Ligand,Binding Affinity
ProtB_1_Azithromycin,-9
ProtB_1_Azithromycin,-8.8
ProtB_1_Azithromycin,-8.7
ProtB_1_Azithromycin,-8.7
ProtB_1_Azithromycin,-8.6
ProtB_1_Azithromycin,-8.6
ProtB_1_Azithromycin,-8.4
ProtB_1_Azithromycin,-8.4
ProtB_1_Azithromycin,-8.3
ProtB_1_Remdesivir,-8.3
ProtB_1_Remdesivir,-8
ProtB_1_Aloe-emodin,-7.9
ProtB_1_Remdesivir,-7.9
ProtB_1_Remdesivir,-7.9
ProtB_1_Aloe-emodin,-7.8
ProtB_1_Aloe-emodin,-7.8
ProtB_1_Aloe-emodin,-7.8
ProtB_1_Ritonavir,-7.8
ProtB_1_Ritonavir,-7.8
ProtB_1_Aloe-emodin,-7.7
ProtB_1_Ritonavir,-7.7
ProtB_1_Ritonavir,-7.7
ProtB_1_Aloe-emodin,-7.6
ProtB_1_Ritonavir,-7.6
ProtB_1_Ritonavir,-7.6
ProtB_1_Ritonavir,-7.6
ProtB_1_lopinavir,-7.6
ProtB_1_Aloe-emodin,-7.5
ProtB_1_Remdesivir,-7.5
ProtB_1_Ritonavir,-7.5
ProtB_1_Ritonavir,-7.5
ProtB_1_lopinavir,-7.5
ProtB_1_lopinavir,-7.5
ProtB_1_lopinavir,-7.5
ProtB_1_lopinavir,-7.5
ProtB_1_Aloe-emodin,-7.4
ProtB_1_Aloe-emodin,-7.4
ProtB_1_lopinavir,-7.4
ProtB_1_lopinavir,-7.4
ProtB_1_lopinavir,-7.4
ProtB_1_lopinavir,-7.4
ProtB_1_Remdesivir,-7.3
ProtB_1_Remdesivir,-7.2
ProtB_1_Remdesivir,-7.2
ProtB_1_Remdesivir,-7.2
ProtB_1_chloroquine,-6.2
ProtB_1_Hydroxychloroquine,-6.1
ProtB_1_Hydroxychloroquine,-6
ProtB_1_chloroquine,-6
ProtB_1_Hydroxychloroquine,-5.9
ProtB_1_Hydroxychloroquine,-5.9
ProtB_1_chloroquine,-5.9
ProtB_1_chloroquine,-5.9
ProtB_1_Hydroxychloroquine,-5.8
ProtB_1_Hydroxychloroquine,-5.8
ProtB_1_Hydroxychloroquine,-5.8
ProtB_1_Hydroxychloroquine,-5.8
ProtB_1_chloroquine,-5.8
ProtB_1_chloroquine,-5.8
ProtB_1_Favipiravir,-5.7
ProtB_1_Hydroxychloroquine,-5.7
ProtB_1_chloroquine,-5.7
ProtB_1_chloroquine,-5.7
ProtB_1_chloroquine,-5.7
ProtB_1_Favipiravir,-5.4
ProtB_1_Favipiravir,-5.4
ProtB_1_Favipiravir,-5.3
ProtB_1_Favipiravir,-5.1
ProtB_1_Favipiravir,-5
ProtB_1_Favipiravir,-5
ProtB_1_Favipiravir,-5
ProtB_1_Favipiravir,-4.9
