Ligand,Binding Affinity
ProtC_1_Aloe-emodin,-8.5
ProtC_1_Remdesivir,-8.5
ProtC_1_Azithromycin,-8.4
ProtC_1_Remdesivir,-8.4
ProtC_1_Remdesivir,-8.3
ProtC_1_lopinavir,-8.3
ProtC_1_lopinavir,-8.3
ProtC_1_lopinavir,-8.2
ProtC_1_lopinavir,-8.2
ProtC_1_Azithromycin,-8.1
ProtC_1_lopinavir,-8.1
ProtC_1_Aloe-emodin,-8
ProtC_1_Aloe-emodin,-8
ProtC_1_Aloe-emodin,-7.9
ProtC_1_Azithromycin,-7.9
ProtC_1_Azithromycin,-7.9
ProtC_1_Remdesivir,-7.9
ProtC_1_lopinavir,-7.9
ProtC_1_lopinavir,-7.9
ProtC_1_Aloe-emodin,-7.8
ProtC_1_Aloe-emodin,-7.8
ProtC_1_Azithromycin,-7.8
ProtC_1_Azithromycin,-7.8
ProtC_1_Remdesivir,-7.8
ProtC_1_lopinavir,-7.8
ProtC_1_Aloe-emodin,-7.7
ProtC_1_Remdesivir,-7.7
ProtC_1_Azithromycin,-7.6
ProtC_1_Remdesivir,-7.6
ProtC_1_lopinavir,-7.6
ProtC_1_Aloe-emodin,-7.5
ProtC_1_Remdesivir,-7.5
ProtC_1_Remdesivir,-7.5
ProtC_1_Aloe-emodin,-7.4
ProtC_1_Azithromycin,-7.4
ProtC_1_Azithromycin,-7.3
ProtC_1_Ritonavir,-7
ProtC_1_Ritonavir,-7
ProtC_1_Ritonavir,-6.9
ProtC_1_Ritonavir,-6.8
ProtC_1_Ritonavir,-6.7
ProtC_1_Ritonavir,-6.7
ProtC_1_Hydroxychloroquine,-6.6
ProtC_1_Ritonavir,-6.6
ProtC_1_Ritonavir,-6.6
ProtC_1_Ritonavir,-6.6
ProtC_1_Hydroxychloroquine,-6
ProtC_1_chloroquine,-6
ProtC_1_chloroquine,-6
ProtC_1_Hydroxychloroquine,-5.9
ProtC_1_chloroquine,-5.9
ProtC_1_chloroquine,-5.9
ProtC_1_Hydroxychloroquine,-5.8
ProtC_1_chloroquine,-5.8
ProtC_1_chloroquine,-5.8
ProtC_1_chloroquine,-5.8
ProtC_1_chloroquine,-5.8
ProtC_1_Hydroxychloroquine,-5.7
ProtC_1_Hydroxychloroquine,-5.7
ProtC_1_Hydroxychloroquine,-5.7
ProtC_1_Hydroxychloroquine,-5.7
ProtC_1_Hydroxychloroquine,-5.7
ProtC_1_chloroquine,-5.7
ProtC_1_Favipiravir,-5.4
ProtC_1_Favipiravir,-5.4
ProtC_1_Favipiravir,-5.2
ProtC_1_Favipiravir,-5.2
ProtC_1_Favipiravir,-5.2
ProtC_1_Favipiravir,-5.1
ProtC_1_Favipiravir,-5.1
ProtC_1_Favipiravir,-5
ProtC_1_Favipiravir,-4.9
