Ligand,Binding Affinity
ProtD_1_Aloe-emodin,-10.3
ProtD_1_Aloe-emodin,-10
ProtD_1_Aloe-emodin,-9.8
ProtD_1_Aloe-emodin,-9.8
ProtD_1_Aloe-emodin,-9.8
ProtD_1_Remdesivir,-9.8
ProtD_1_Aloe-emodin,-9.6
ProtD_1_Remdesivir,-9.4
ProtD_1_Remdesivir,-9.4
ProtD_1_Ritonavir,-9.4
ProtD_1_Aloe-emodin,-9.3
ProtD_1_Remdesivir,-9.2
ProtD_1_Remdesivir,-9.1
ProtD_1_Azithromycin,-8.9
ProtD_1_Remdesivir,-8.9
ProtD_1_lopinavir,-8.9
ProtD_1_Remdesivir,-8.8
ProtD_1_Ritonavir,-8.8
ProtD_1_lopinavir,-8.8
ProtD_1_lopinavir,-8.8
ProtD_1_lopinavir,-8.8
ProtD_1_lopinavir,-8.7
ProtD_1_lopinavir,-8.7
ProtD_1_Azithromycin,-8.6
ProtD_1_Azithromycin,-8.6
ProtD_1_Ritonavir,-8.6
ProtD_1_lopinavir,-8.6
ProtD_1_Azithromycin,-8.5
ProtD_1_Ritonavir,-8.5
ProtD_1_Ritonavir,-8.5
ProtD_1_Ritonavir,-8.5
ProtD_1_lopinavir,-8.5
ProtD_1_lopinavir,-8.5
ProtD_1_Aloe-emodin,-8.4
ProtD_1_Azithromycin,-8.4
ProtD_1_Azithromycin,-8.4
ProtD_1_Azithromycin,-8.4
ProtD_1_Azithromycin,-8.4
ProtD_1_Ritonavir,-8.4
ProtD_1_Ritonavir,-8.4
ProtD_1_Ritonavir,-8.4
ProtD_1_Aloe-emodin,-8.3
ProtD_1_Azithromycin,-8.3
ProtD_1_Hydroxychloroquine,-7.7
ProtD_1_Hydroxychloroquine,-7.6
ProtD_1_chloroquine,-7.6
ProtD_1_Hydroxychloroquine,-7.5
ProtD_1_Hydroxychloroquine,-7.4
ProtD_1_chloroquine,-7.4
ProtD_1_chloroquine,-7.3
ProtD_1_chloroquine,-7.3
ProtD_1_Hydroxychloroquine,-6.9
ProtD_1_Hydroxychloroquine,-6.9
ProtD_1_Favipiravir,-6.7
ProtD_1_Favipiravir,-6.5
ProtD_1_Favipiravir,-6.5
ProtD_1_Favipiravir,-6.3
ProtD_1_Favipiravir,-6
ProtD_1_Favipiravir,-6
ProtD_1_Favipiravir,-6
ProtD_1_Favipiravir,-5.6
ProtD_1_Favipiravir,-5.6
