Ligand,Binding Affinity
ProtE_1_Azithromycin,-8.4
ProtE_1_Azithromycin,-8.2
ProtE_1_Aloe-emodin,-8.1
ProtE_1_Azithromycin,-8.1
ProtE_1_Aloe-emodin,-8
ProtE_1_Aloe-emodin,-7.9
ProtE_1_Aloe-emodin,-7.9
ProtE_1_Azithromycin,-7.9
ProtE_1_Azithromycin,-7.9
ProtE_1_Azithromycin,-7.8
ProtE_1_Azithromycin,-7.8
ProtE_1_Remdesivir,-7.8
ProtE_1_Aloe-emodin,-7.7
ProtE_1_Azithromycin,-7.7
ProtE_1_Azithromycin,-7.7
ProtE_1_Remdesivir,-7.5
ProtE_1_Remdesivir,-7.5
ProtE_1_lopinavir,-7.5
ProtE_1_lopinavir,-7.4
ProtE_1_lopinavir,-7.4
ProtE_1_lopinavir,-7.4
ProtE_1_Aloe-emodin,-7.3
ProtE_1_Aloe-emodin,-7.3
ProtE_1_Aloe-emodin,-7.3
ProtE_1_Aloe-emodin,-7.3
ProtE_1_Remdesivir,-7.3
ProtE_1_Remdesivir,-7.3
ProtE_1_lopinavir,-7.3
ProtE_1_lopinavir,-7.3
ProtE_1_lopinavir,-7.3
ProtE_1_Remdesivir,-7.2
ProtE_1_lopinavir,-7.2
ProtE_1_lopinavir,-7.2
ProtE_1_Remdesivir,-7.1
ProtE_1_Remdesivir,-7
ProtE_1_Remdesivir,-7
ProtE_1_Ritonavir,-7
ProtE_1_Ritonavir,-6.9
ProtE_1_Ritonavir,-6.8
ProtE_1_Ritonavir,-6.8
ProtE_1_Ritonavir,-6.7
ProtE_1_Ritonavir,-6.7
ProtE_1_Ritonavir,-6.7
ProtE_1_Ritonavir,-6.7
ProtE_1_Ritonavir,-6.5
ProtE_1_Hydroxychloroquine,-6.3
ProtE_1_Favipiravir,-6.1
ProtE_1_Hydroxychloroquine,-6.1
ProtE_1_Hydroxychloroquine,-6.1
ProtE_1_Hydroxychloroquine,-6.1
ProtE_1_Hydroxychloroquine,-6.1
ProtE_1_chloroquine,-6.1
ProtE_1_Hydroxychloroquine,-6
ProtE_1_Hydroxychloroquine,-6
ProtE_1_chloroquine,-6
ProtE_1_chloroquine,-6
ProtE_1_Hydroxychloroquine,-5.9
ProtE_1_Hydroxychloroquine,-5.9
ProtE_1_chloroquine,-5.9
ProtE_1_chloroquine,-5.9
ProtE_1_chloroquine,-5.8
ProtE_1_chloroquine,-5.8
ProtE_1_chloroquine,-5.8
ProtE_1_Favipiravir,-5.7
ProtE_1_chloroquine,-5.7
ProtE_1_Favipiravir,-5.6
ProtE_1_Favipiravir,-5.5
ProtE_1_Favipiravir,-5.3
ProtE_1_Favipiravir,-5.3
ProtE_1_Favipiravir,-4.9
ProtE_1_Favipiravir,-4.9
ProtE_1_Favipiravir,-4.8
