Ligand,Binding Affinity
ProtF_1_Aloe-emodin,-7.6
ProtF_1_Aloe-emodin,-7.3
ProtF_1_Aloe-emodin,-6.9
ProtF_1_Aloe-emodin,-6.8
ProtF_1_Aloe-emodin,-6.8
ProtF_1_Aloe-emodin,-6.8
ProtF_1_Aloe-emodin,-6.8
ProtF_1_Aloe-emodin,-6.7
ProtF_1_Aloe-emodin,-6.7
ProtF_1_Azithromycin,-6.7
ProtF_1_Azithromycin,-6.7
ProtF_1_Azithromycin,-6.5
ProtF_1_Azithromycin,-6.3
ProtF_1_Azithromycin,-6.3
ProtF_1_Azithromycin,-6.2
ProtF_1_Remdesivir,-6.1
ProtF_1_Ritonavir,-6
ProtF_1_lopinavir,-6
ProtF_1_Azithromycin,-5.9
ProtF_1_Azithromycin,-5.9
ProtF_1_Azithromycin,-5.9
ProtF_1_Remdesivir,-5.9
ProtF_1_lopinavir,-5.9
ProtF_1_Hydroxychloroquine,-5.8
ProtF_1_Hydroxychloroquine,-5.8
ProtF_1_Remdesivir,-5.8
ProtF_1_Ritonavir,-5.8
ProtF_1_Ritonavir,-5.8
ProtF_1_Ritonavir,-5.8
ProtF_1_Remdesivir,-5.7
ProtF_1_Remdesivir,-5.7
ProtF_1_Remdesivir,-5.7
ProtF_1_Ritonavir,-5.7
ProtF_1_lopinavir,-5.7
ProtF_1_lopinavir,-5.7
ProtF_1_lopinavir,-5.7
ProtF_1_Remdesivir,-5.6
ProtF_1_Remdesivir,-5.6
ProtF_1_Remdesivir,-5.6
ProtF_1_Ritonavir,-5.6
ProtF_1_Ritonavir,-5.6
ProtF_1_Ritonavir,-5.6
ProtF_1_Ritonavir,-5.6
ProtF_1_lopinavir,-5.6
ProtF_1_lopinavir,-5.6
ProtF_1_Hydroxychloroquine,-5.5
ProtF_1_chloroquine,-5.5
ProtF_1_lopinavir,-5.5
ProtF_1_lopinavir,-5.5
ProtF_1_Hydroxychloroquine,-5.4
ProtF_1_Hydroxychloroquine,-5.4
ProtF_1_chloroquine,-5.4
ProtF_1_Hydroxychloroquine,-5.3
ProtF_1_Hydroxychloroquine,-5.3
ProtF_1_Hydroxychloroquine,-5.3
ProtF_1_Hydroxychloroquine,-5.3
ProtF_1_chloroquine,-5.3
ProtF_1_chloroquine,-5.2
ProtF_1_chloroquine,-5.2
ProtF_1_chloroquine,-5.1
ProtF_1_chloroquine,-5.1
ProtF_1_chloroquine,-5.1
ProtF_1_Favipiravir,-5
ProtF_1_chloroquine,-5
ProtF_1_Favipiravir,-4.9
ProtF_1_Favipiravir,-4.8
ProtF_1_Favipiravir,-4.7
ProtF_1_Favipiravir,-4.7
ProtF_1_Favipiravir,-4.7
ProtF_1_Favipiravir,-4.4
ProtF_1_Favipiravir,-4.4
ProtF_1_Favipiravir,-4.4
