Ligand,Binding Affinity
ProtG_1_Azithromycin,-9.3
ProtG_1_Azithromycin,-8.7
ProtG_1_Azithromycin,-8.6
ProtG_1_Azithromycin,-8.6
ProtG_1_Azithromycin,-8.5
ProtG_1_Azithromycin,-8.3
ProtG_1_Azithromycin,-8.2
ProtG_1_Azithromycin,-8
ProtG_1_Aloe-emodin,-7.9
ProtG_1_Aloe-emodin,-7.9
ProtG_1_Azithromycin,-7.9
ProtG_1_Aloe-emodin,-7.8
ProtG_1_Remdesivir,-7.7
ProtG_1_Remdesivir,-7.6
ProtG_1_Remdesivir,-7.5
ProtG_1_lopinavir,-7.4
ProtG_1_Aloe-emodin,-7.3
ProtG_1_Aloe-emodin,-7.3
ProtG_1_Aloe-emodin,-7.3
ProtG_1_Remdesivir,-7.3
ProtG_1_lopinavir,-7.3
ProtG_1_Aloe-emodin,-7.2
ProtG_1_Aloe-emodin,-7.2
ProtG_1_Remdesivir,-7.2
ProtG_1_Remdesivir,-7.2
ProtG_1_lopinavir,-7.2
ProtG_1_Aloe-emodin,-7.1
ProtG_1_Remdesivir,-7.1
ProtG_1_lopinavir,-7.1
ProtG_1_lopinavir,-7.1
ProtG_1_lopinavir,-7.1
ProtG_1_lopinavir,-7.1
ProtG_1_Remdesivir,-7
ProtG_1_Remdesivir,-7
ProtG_1_lopinavir,-7
ProtG_1_lopinavir,-7
ProtG_1_Ritonavir,-6.7
ProtG_1_Ritonavir,-6.7
ProtG_1_Ritonavir,-6.7
ProtG_1_Ritonavir,-6.6
ProtG_1_Hydroxychloroquine,-6.5
ProtG_1_chloroquine,-6.5
ProtG_1_Hydroxychloroquine,-6.4
ProtG_1_Ritonavir,-6.3
ProtG_1_Ritonavir,-6.3
ProtG_1_chloroquine,-6.3
ProtG_1_chloroquine,-6.3
ProtG_1_Hydroxychloroquine,-6.2
ProtG_1_Ritonavir,-6.2
ProtG_1_Ritonavir,-6.2
ProtG_1_Ritonavir,-6.2
ProtG_1_chloroquine,-6.2
ProtG_1_chloroquine,-6.2
ProtG_1_chloroquine,-6.2
ProtG_1_Hydroxychloroquine,-6.1
ProtG_1_chloroquine,-6.1
ProtG_1_Hydroxychloroquine,-6
ProtG_1_Hydroxychloroquine,-6
ProtG_1_Hydroxychloroquine,-6
ProtG_1_Hydroxychloroquine,-6
ProtG_1_Hydroxychloroquine,-6
ProtG_1_chloroquine,-6
ProtG_1_chloroquine,-6
ProtG_1_Favipiravir,-5.8
ProtG_1_Favipiravir,-5.6
ProtG_1_Favipiravir,-5.3
ProtG_1_Favipiravir,-5.2
ProtG_1_Favipiravir,-5.1
ProtG_1_Favipiravir,-5
ProtG_1_Favipiravir,-5
ProtG_1_Favipiravir,-4.8
ProtG_1_Favipiravir,-4.7
