Ligand,Binding Affinity
ProtH_1_Azithromycin,-9.2
ProtH_1_Azithromycin,-8.9
ProtH_1_Ritonavir,-8.9
ProtH_1_Aloe-emodin,-8.7
ProtH_1_Ritonavir,-8.6
ProtH_1_lopinavir,-8.4
ProtH_1_Ritonavir,-8.3
ProtH_1_lopinavir,-8.3
ProtH_1_Aloe-emodin,-8.2
ProtH_1_Aloe-emodin,-8.2
ProtH_1_Ritonavir,-8.2
ProtH_1_lopinavir,-8.2
ProtH_1_Aloe-emodin,-8.1
ProtH_1_Aloe-emodin,-8.1
ProtH_1_Azithromycin,-8
ProtH_1_lopinavir,-8
ProtH_1_lopinavir,-8
ProtH_1_Remdesivir,-7.9
ProtH_1_lopinavir,-7.9
ProtH_1_lopinavir,-7.9
ProtH_1_lopinavir,-7.9
ProtH_1_lopinavir,-7.9
ProtH_1_Aloe-emodin,-7.8
ProtH_1_Remdesivir,-7.8
ProtH_1_Remdesivir,-7.8
ProtH_1_Ritonavir,-7.8
ProtH_1_Remdesivir,-7.7
ProtH_1_Aloe-emodin,-7.6
ProtH_1_Remdesivir,-7.6
ProtH_1_Remdesivir,-7.5
ProtH_1_Aloe-emodin,-7.4
ProtH_1_Azithromycin,-7.3
ProtH_1_Azithromycin,-7.3
ProtH_1_Hydroxychloroquine,-7.3
ProtH_1_Aloe-emodin,-7.1
ProtH_1_Hydroxychloroquine,-7.1
ProtH_1_Hydroxychloroquine,-7.1
ProtH_1_chloroquine,-7.1
ProtH_1_chloroquine,-7.1
ProtH_1_Azithromycin,-7
ProtH_1_Hydroxychloroquine,-7
ProtH_1_chloroquine,-7
ProtH_1_Azithromycin,-6.9
ProtH_1_Azithromycin,-6.9
ProtH_1_Hydroxychloroquine,-6.9
ProtH_1_Hydroxychloroquine,-6.9
ProtH_1_chloroquine,-6.9
ProtH_1_chloroquine,-6.9
ProtH_1_Azithromycin,-6.8
ProtH_1_chloroquine,-6.8
ProtH_1_Ritonavir,-6.6
ProtH_1_chloroquine,-6.6
ProtH_1_Hydroxychloroquine,-6.5
ProtH_1_Hydroxychloroquine,-6.4
ProtH_1_Ritonavir,-6.2
ProtH_1_Ritonavir,-6.2
ProtH_1_chloroquine,-6.2
ProtH_1_Hydroxychloroquine,-6.1
ProtH_1_Ritonavir,-6.1
ProtH_1_chloroquine,-6.1
ProtH_1_Favipiravir,-5.7
ProtH_1_Favipiravir,-5.6
ProtH_1_Remdesivir,-5.6
ProtH_1_Favipiravir,-5.5
ProtH_1_Favipiravir,-5.5
ProtH_1_Remdesivir,-5.3
ProtH_1_Favipiravir,-5.2
ProtH_1_Favipiravir,-5.2
ProtH_1_Remdesivir,-5.2
ProtH_1_Favipiravir,-5
ProtH_1_Favipiravir,-5
ProtH_1_Favipiravir,-4.9
